,polynomials,lamb,train_mse,test_mse
244,23,0.1,0.5034230136841511,0.5083421853849663
245,23,1.0,0.5279421427757576,0.5321408476933895
246,23,10.0,0.5485039964293963,0.5517319485844004
247,23,100.0,0.5752850539484144,0.5774681728843825
248,23,1000.0,0.6070285174205117,0.6086047116844311
249,23,10000.0,0.6879106945341573,0.6890929290922021
250,23,100000.0,0.8195775701877006,0.8203358833590778
251,23,1000000.0,0.9288820616319103,0.9293312251787669
252,23,10000000.0,0.9832627575485395,0.9839242772584551
253,24,0.001,0.46817185579882425,0.47413259694556287
254,24,0.01,0.48277931335358054,0.4880248721063335
255,24,0.1,0.5022403931809626,0.5062883823835376
256,24,1.0,0.5272051815438703,0.5308972434722979
257,24,10.0,0.5476979637649034,0.5508401481529288
258,24,100.0,0.5745508474533032,0.5768648082371228
259,24,1000.0,0.6068168197003794,0.6086148949499985
260,24,10000.0,0.6874522079764083,0.6886654986223553
261,24,100000.0,0.8193082352963945,0.8200796282407963
262,24,1000000.0,0.9288377092776411,0.9294100252204874
263,24,10000000.0,0.9829024168262184,0.9834626432652774
